	English 1	English 2	English 3	English 4	Quantitative Ability 1	Quantitative Ability 2	Quantitative Ability 3	Quantitative Ability 4	Domain Skills 1	Domain Skills 2	Domain Test 3	Domain Test 4	Analytical Skills 1	Analytical Skills 2	Analytical Skills 3
English 1	297.6931380107859	113.03747710265725	139.11209119380018	128.55132359178498	74.98644746064812	62.00940095158514	50.72294979536467	29.249674368107	44.68708915606553	33.266576910221204	13.132691523298861	33.354687697315136	93.70263906890844	44.17247370205117	95.13510237322853
English 2	113.03747710265725	112.1078082986921	49.8722967007433	36.205968422905514	29.697567776487908	24.56733167286582	25.442651448286554	12.93438424217514	17.969021348741602	14.4936878387409	7.396250362925642	14.24636617515706	26.191414881162597	21.126815306467595	19.13160871789548
English 3	139.11209119380018	49.8722967007433	118.3169781216362	41.108198589312046	37.32701152201675	36.363745128034715	25.129279203797903	18.50185674768866	34.23175480753521	34.99538031912136	22.510740265086195	24.200126751855034	52.12823543720163	31.44666152041406	46.11541103419132
English 4	128.55132359178498	36.205968422905514	41.108198589312046	113.5631756074583	42.91518233716032	41.74744049706895	35.59389218080527	23.664495518752084	14.19134958426883	16.282466598844913	8.747008131587961	19.856900915030455	42.267904816529175	13.397756674176234	47.96041293339218
Quantitative Ability 1	74.98644746064812	29.697567776487908	37.32701152201675	42.91518233716032	233.94179026829116	137.71753329969238	120.56789286638839	94.3275978380171	112.01688637344473	76.48644601973153	64.6216471079003	56.29935965963459	103.78099023003375	70.06018473174994	90.71388540186189
Quantitative Ability 2	62.00940095158514	24.56733167286582	36.363745128034715	41.74744049706895	137.71753329969238	128.29780589307802	63.98603986059851	61.67470539829341	81.15557862888902	64.97566900632597	51.433833875220685	45.0379513454425	72.65235602175301	47.584445080448475	64.8537286468321
Quantitative Ability 3	50.72294979536467	25.442651448286554	25.129279203797903	35.59389218080527	120.56789286638839	63.98603986059851	108.58577646585042	52.53738482953161	56.12353362711182	44.238675267828675	36.72440062345669	37.97646637577977	59.72861970222166	49.283514356866505	48.23052602425992
Quantitative Ability 4	29.249674368107	12.93438424217514	18.50185674768866	23.664495518752084	94.3275978380171	61.67470539829341	52.53738482953161	102.39670976141234	65.84635030694535	50.1803278562429	48.82870887545901	32.90803678972953	53.292005546119874	35.951626835773766	42.18986760164935
Domain Skills 1	44.68708915606553	17.969021348741602	34.23175480753521	14.19134958426883	112.01688637344473	81.15557862888902	56.12353362711182	65.84635030694535	284.50175142377583	186.59596311359212	170.81600518477114	134.12422447942632	77.81885152351936	51.964780273834556	52.589511535986844
Domain Skills 2	33.266576910221204	14.4936878387409	34.99538031912136	16.282466598844913	76.48644601973153	64.97566900632597	44.238675267828675	50.1803278562429	186.59596311359212	180.05700253231248	97.15325081464783	74.66645372246576	53.83627300562508	36.563963152554166	36.23787449704771
Domain Test 3	13.132691523298861	7.396250362925642	22.510740265086195	8.747008131587961	64.6216471079003	51.433833875220685	36.72440062345669	48.82870887545901	170.81600518477114	97.15325081464783	166.85815175708183	62.65709517202542	47.97003799969513	36.40177775876756	23.87031829794769
Domain Test 4	33.354687697315136	14.24636617515706	24.200126751855034	19.856900915030455	56.29935965963459	45.0379513454425	37.97646637577977	32.90803678972953	134.12422447942632	74.66645372246576	62.65709517202542	134.44955985605665	31.846150530107554	16.428330866018268	24.01718771304384
Analytical Skills 1	93.70263906890844	26.191414881162597	52.12823543720163	42.267904816529175	103.78099023003375	72.65235602175301	59.72861970222166	53.292005546119874	77.81885152351936	53.83627300562508	47.97003799969513	31.846150530107554	241.98398741030715	122.14713649168247	246.3340100629529
Analytical Skills 2	44.17247370205117	21.126815306467595	31.44666152041406	13.397756674176234	70.06018473174994	47.584445080448475	49.283514356866505	35.951626835773766	51.964780273834556	36.563963152554166	36.40177775876756	16.428330866018268	122.14713649168247	187.50176225520264	75.35377450633786
Analytical Skills 3	95.13510237322853	19.13160871789548	46.11541103419132	47.96041293339218	90.71388540186189	64.8537286468321	48.23052602425992	42.18986760164935	52.589511535986844	36.23787449704771	23.87031829794769	24.01718771304384	246.3340100629529	75.35377450633786	328.8568443011209
