Candidate ID,Name,Number of characters in Original Name,Month of Birth,Year of Birth,Gender,State (Location),10th percentage,12th percentage,10th Completion Year,12th Completion year,Degree of study,Specialization in study,College percentage,Year of Completion of college,English 1,English 2,English 3,English 4,Quantitative Ability 1,Quantitative Ability 2,Quantitative Ability 3,Quantitative Ability 4,Domain Skills 1,Domain Skills 2,Domain Test 3,Domain Test 4,Analytical Skills 1,Analytical Skills 2,Analytical Skills 3,Performance
782,ShB,14,APR,Y7,A,E,87.04,83.83,Y14,Y16,X,G,76.74,Y20,47.1698113207547,91.08280254777071,73.3333333333333,59.509202453987704,63.9344262295082,66.4670658682635,74.30167597765359,74.5664739884393,92.85714285714282,100.0,76.55172413793109,89.7810218978102,76.3636363636364,89.87341772151899,59.77011494252871,BP
1194,JeB,18,JUN,Y8,B,A,90.54,95.25,Y14,Y16,X,B,77.31,Y20,54.7169811320755,70.7006369426752,56.363636363636395,70.5521472392638,40.9836065573771,55.68862275449099,72.0670391061452,53.757225433526,33.9285714285714,56.834532374100704,37.931034482758605,73.72262773722629,58.1818181818182,78.48101265822791,54.0229885057471,BP
1080,SmS,11,DEC,Y7,A,J,84.8,78.8,Y14,Y16,X,B,71.45,Y20,47.1698113207547,69.4267515923567,52.7272727272727,69.3251533742331,60.655737704918,66.4670658682635,74.30167597765359,65.3179190751445,33.9285714285714,52.5179856115108,54.48275862068971,63.503649635036496,80.0,73.4177215189874,81.60919540229891,BP
1287,PtW,14,AUG,Y8,A,J,87.8,74.4,Y14,Y16,X,B,63.92,Y20,79.24528301886791,91.08280254777071,61.212121212121204,79.1411042944785,55.7377049180328,71.25748502994009,70.94972067039109,72.2543352601156,39.2857142857143,55.3956834532374,58.6206896551724,66.42335766423359,74.5454545454546,55.6962025316456,83.9080459770115,BP
488,PpJ,10,SEP,Y7,A,D,92.0,92.17,Y14,Y16,X,B,67.84,Y20,52.8301886792453,65.6050955414013,66.0606060606061,71.7791411042945,39.344262295082004,65.2694610778443,62.0111731843575,54.913294797687904,55.3571428571429,64.0287769784173,75.1724137931035,75.1824817518248,76.3636363636364,73.4177215189874,77.01149425287359,BP
1413,MjR,18,AUG,Y8,A,N,88.53,82.67,Y14,Y16,X,L,66.1,Y20,52.8301886792453,71.9745222929936,62.4242424242424,68.0981595092025,40.9836065573771,59.2814371257485,57.541899441340796,58.381502890173394,30.357142857142897,59.71223021582729,40.6896551724138,56.2043795620438,96.3636363636364,96.2025316455696,95.40229885057471,LP
140,HhA,18,APR,Y8,A,D,91.0,94.33,Y14,Y16,X,B,70.24,Y20,54.7169811320755,77.0700636942675,72.1212121212121,58.2822085889571,42.622950819672106,60.47904191616771,69.8324022346369,56.0693641618497,37.5,71.2230215827338,51.7241379310345,51.8248175182482,81.8181818181818,88.6075949367089,77.01149425287359,BP
896,SaG,13,FEB,Y6,A,I,79.22,72.16,Y14,Y16,X,G,78.7,Y20,39.622641509434,63.057324840764295,72.1212121212121,55.828220858895705,57.3770491803279,71.25748502994009,54.18994413407821,76.878612716763,69.64285714285711,71.2230215827338,77.9310344827586,89.7810218978102,63.636363636363605,44.3037974683544,75.86206896551721,BP
678,NaP,14,JAN,Y8,B,A,91.8,95.25,Y14,Y16,X,G,80.79,Y20,66.0377358490566,78.343949044586,56.363636363636395,80.3680981595092,49.1803278688525,65.2694610778443,63.1284916201117,75.7225433526012,58.928571428571395,74.10071942446041,77.9310344827586,64.963503649635,83.6363636363636,94.93670886075951,71.26436781609199,BP
410,HaP,10,DEC,Y7,B,A,92.2,71.4,Y14,Y16,X,B,81.6,Y20,79.24528301886791,89.8089171974522,86.6666666666667,59.509202453987704,45.90163934426229,59.2814371257485,62.0111731843575,64.16184971098271,50.0,69.7841726618705,57.241379310344804,72.26277372262771,70.9090909090909,93.6708860759494,56.321839080459796,BP
996,DaP,14,OCT,Y6,A,I,85.6,75.4,Y14,Y16,X,B,79.5,Y20,54.7169811320755,82.16560509554141,76.969696969697,61.963190184049104,42.4590163934426,66.4670658682635,65.3631284916201,60.693641618497104,53.571428571428605,74.10071942446041,55.8620689655172,79.5620437956204,87.2727272727273,93.6708860759494,86.20689655172409,MP
1389,MaS,17,JUL,Y7,B,N,81.46,80.67,Y14,Y16,X,G,64.16,Y20,30.188679245282998,49.04458598726111,64.8484848484849,63.1901840490798,39.344262295082004,61.6766467065868,63.1284916201117,59.537572254335295,46.428571428571395,59.71223021582729,72.4137931034483,62.043795620438004,58.1818181818182,75.9493670886076,47.1264367816092,BP
521,RnS,11,MAY,Y8,A,A,69.0,78.33,Y14,Y16,X,G,66.66,Y20,37.7358490566038,63.057324840764295,68.4848484848485,54.601226993865005,32.7868852459016,67.66467065868261,51.9553072625698,51.44508670520229,44.6428571428571,72.6618705035971,57.241379310344804,62.043795620438004,41.8181818181818,49.3670886075949,39.080459770115,LP
1388,SlK,13,MAR,Y8,B,N,87.06,81.0,Y14,Y16,X,D,77.1,Y20,54.7169811320755,63.057324840764295,69.6969696969697,73.0061349693252,31.1475409836066,54.491017964071894,63.1284916201117,53.757225433526,32.1428571428571,59.71223021582729,64.13793103448279,47.4452554744526,83.6363636363636,73.4177215189874,86.20689655172409,MP
1268,BaS,21,JAN,Y3,A,E,83.2,83.33,Y10,Y12,Z,G,71.25,Y20,28.3018867924528,60.5095541401274,60.0,47.239263803681,47.5409836065574,46.1077844311377,69.8324022346369,60.693641618497104,51.78571428571429,56.834532374100704,80.6896551724138,66.42335766423359,67.2727272727273,73.4177215189874,63.2183908045977,MP
